,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,SbjNum,NSE,NSEv1,NSEv2,edad,edadx,DNI,sexo,dep,prov,dist,zona,region,ambito,edu,edu2,ocupa,ocupa2,p01,p01otro,p02,p03,p04,p05_1,p05_2,p05_3,p05_4,p06_1,p06_2,p06_3,p06_4,p06_5,p06_6,p06_7,p06_8,p06_9,p06_10,p07,p07otro,p08,p08otro,p11,p12,p12a,p13,p13a,p15_1,p15_2,p15_3,p15_4,PONDERADOR,PERCENTAGE,periodo
0,0,0,0,160518501,NSE C1,NSE C,NSE C,25,De 25 a 39 años,SI,Hombre,Puno,Puno,210101,Sur,2,Peru urbano,Superior universitaria completa,Educacion superior,Asalariado del sector privado,Trabajador dependiente,Corrupcion, ,Desaprueba,Mejorará en los próximos meses,Durará cinco años como presidente,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Aprueba,Aprueba,Aprueba,Desaprueba,Aprueba,Desaprueba,Aprueba,Aprueba,Aprueba,Aprueba,Fizcalizan bien a los ministros, ,"No les interesa la gente, solo piensan en ellos", ,Debe haber un retorno gradual de acuerdo con las condiciones de los colegios,No,Desaprueba,Centro,Centro,Muy probable,Muy probable,Muy probable,Algo probable,0.878,0.07256576168841848,NOVIEMBRE 2021
1,1,1,1,160519320,NSE C1,NSE C,NSE C,24,De 18 a 24 años,SI,Hombre,Lima,Lima,150135,Lima Metropolitana,1,Lima Metropolitana,Secundaria completa,Educacion Basica,Asalariado del sector privado,Trabajador dependiente,Economia, ,Desaprueba,Empeorará en los próximos meses,No terminará su gobierno,Desaprueba,Desaprueba,Desaprueba,NS/NP,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Desaprueba,No tiene nada positivo, ,La falta de gente capacitada, ,Debe haber un retorno gradual de acuerdo con las condiciones de los colegios,No,Aprueba,Centro,Centro,Muy probable,Muy probable,Muy probable,Muy probable,1.2423,0.10267476736392057,NOVIEMBRE 2021
2,2,2,2,160519533,NSE B1,NSE B,NSE A/B,44,De 40 a más años,SI,Hombre,Lima,Lima,150128,Lima Metropolitana,1,Lima Metropolitana,Superior técnico incompleta,Educacion superior,Asalariado del sector privado,Trabajador dependiente,Inestabilidad política,NO DEJAN GOBERNAR AL PRESIDENTE,Aprueba,Mejorará en los próximos meses,Durará cinco años como presidente,Aprueba,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Aprueba,Desaprueba,Desaprueba,Aprueba,Aprueba,Aprueba,Desaprueba,Desaprueba,Aprueba,No tiene nada positivo, ,No dejan gobernar al ejecutivo, ,"En marzo todos deberían regresar a clases presenciales, sin excepción",No,Desaprueba,Centro,Centro,Poco probable,Muy probable,Algo probable,Nada probable,0.6874,0.05681287538111488,NOVIEMBRE 2021
3,3,3,3,160519780,NSE B2,NSE B,NSE A/B,36,De 25 a 39 años,SI,Hombre,Lima,Lima,150110,Lima Metropolitana,1,Lima Metropolitana,Superior técnico completa,Educacion superior,Trabajador independiente con empleados,Trabajador independiente,Economia, ,Desaprueba,Empeorará en los próximos meses,No terminará su gobierno,Aprueba,Aprueba,Desaprueba,Desaprueba,NS/NP,NS/NP,Desaprueba,Desaprueba,Aprueba,NS/NP,Desaprueba,Desaprueba,Desaprueba,NS/NP,Fizcalizan bien a los ministros, ,"No les interesa la gente, solo piensan en ellos", ,Debe haber un retorno gradual de acuerdo con las condiciones de los colegios,Sí,Desaprueba,Centro,Centro,Muy probable,Muy probable,Muy probable,Muy probable,0.6388,0.05279613731954639,NOVIEMBRE 2021
4,4,4,4,160520180,NSE B2,NSE B,NSE A/B,18,De 18 a 24 años,SI,Hombre,Lima,Lima,150117,Lima Metropolitana,1,Lima Metropolitana,Secundaria completa,Educacion Basica,Asalariado del sector privado,Trabajador dependiente,Desigualdad, ,Desaprueba,Se mantendrá igual los cinco años de su gobierno,No terminará su gobierno,Desaprueba,Aprueba,Desaprueba,Desaprueba,Aprueba,Aprueba,Aprueba,Desaprueba,Desaprueba,Aprueba,Aprueba,Desaprueba,Desaprueba,Desaprueba,Fizcalizan bien a los ministros, ,No dejan gobernar al ejecutivo, ,"En marzo todos deberían regresar a clases presenciales, sin excepción",Sí,Aprueba,Centro,Centro,Muy probable,Muy probable,Muy probable,Algo probable,0.6388,0.05279613731954639,NOVIEMBRE 2021
5,5,5,5,160520363,NSE D,NSE D,NSE D/E,63,De 40 a más años,SI,Mujer,Áncash,Huarmey,21101,Norte,1,Peru urbano,Primaria completa,Educacion Basica,Empleado del hogar,Trabajador independiente,Empleo, ,Desaprueba,Empeorará en los próximos meses,No terminará su gobierno,Desaprueba,Desaprueba,Aprueba,Aprueba,Desaprueba,Aprueba,Desaprueba,Aprueba,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Controlan las acciones del Presidente Castillo, ,La falta de gente capacitada, ,Debe haber un retorno gradual de acuerdo con las condiciones de los colegios,Sí,Aprueba,Centro,Centro,Muy probable,Muy probable,Algo probable,Algo probable,0.9056,0.0748468721925191,NOVIEMBRE 2021
6,6,6,6,160520839,NSE C1,NSE C,NSE C,25,De 25 a 39 años,SI,Mujer,Áncash,Santa,21801,Norte,1,Peru urbano,Superior universitaria completa,Educacion superior,Trabajador independiente sin empleados,Trabajador independiente,Corrupcion, ,Aprueba,Mejorará en los próximos meses,Durará cinco años como presidente,Aprueba,Aprueba,Desaprueba,Aprueba,Aprueba,Aprueba,Desaprueba,Desaprueba,Aprueba,Aprueba,Desaprueba,Desaprueba,Desaprueba,Aprueba,Fizcalizan bien a los ministros, ,No dejan gobernar al ejecutivo, ,Debe haber un retorno gradual de acuerdo con las condiciones de los colegios,Sí,Desaprueba,Izquierda,Izquierda,Muy probable,Muy probable,Muy probable,Muy probable,0.8417,0.06956560548193831,NOVIEMBRE 2021
7,7,7,7,160520913,NSE D,NSE D,NSE D/E,48,De 40 a más años,SI,Mujer,Cusco,Cusco,80101,Sur,2,Peru rural,Secundaria completa,Educacion Basica,No trabaja,No trabaja,Empleo, ,Aprueba,Mejorará en los próximos meses,Durará cinco años como presidente,Aprueba,Aprueba,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Aprueba,Aprueba,NS/NP,Desaprueba,Desaprueba,Desaprueba,No tiene nada positivo, ,Ahorran y no malgastan su presupuesto, ,El próximo año deberían mantenerse clases virtuales y no presenciales,No,Desaprueba,Derecha,Derecha,Muy probable,Muy probable,Muy probable,Muy probable,1.3551,0.11199756681546229,NOVIEMBRE 2021
8,8,8,8,160521200,NSE C2,NSE C,NSE C,28,De 25 a 39 años,SI,Mujer,Lima,Lima,150110,Lima Metropolitana,1,Lima Metropolitana,Superior técnico completa,Educacion superior,Asalariado del sector privado,Trabajador dependiente,Economia, ,Desaprueba,Se mantendrá igual los cinco años de su gobierno,No terminará su gobierno,Aprueba,Desaprueba,Aprueba,Aprueba,Desaprueba,Desaprueba,Aprueba,Aprueba,Aprueba,Desaprueba,Desaprueba,Aprueba,Aprueba,Aprueba,Las leyes que han hecho en estos meses son buenas, ,"No les interesa la gente, solo piensan en ellos", ,Debe haber un retorno gradual de acuerdo con las condiciones de los colegios,No,Aprueba,Derecha,Derecha,Muy probable,Muy probable,Muy probable,Muy probable,1.191,0.09843487718782051,NOVIEMBRE 2021
9,9,9,9,160521366,NSE D,NSE D,NSE D/E,37,De 25 a 39 años,SI,Mujer,Huancavelica,Huancavelica,90101,Centro,2,Peru rural,Primaria completa,Educacion Basica,No trabaja,No trabaja,Inestabilidad política,EL CONGRESO,Aprueba,Mejorará en los próximos meses,Durará cinco años como presidente,Desaprueba,Desaprueba,Desaprueba,Aprueba,Desaprueba,Desaprueba,Aprueba,Desaprueba,Desaprueba,Aprueba,Aprueba,Aprueba,Aprueba,Aprueba,Ahorran y no malgastan su presupuesto, ,"No les interesa la gente, solo piensan en ellos", ,"En marzo todos deberían regresar a clases presenciales, sin excepción",Sí,Desaprueba,Izquierda,Izquierda,Nada probable,Nada probable,Nada probable,Nada probable,1.2595,0.1040963289824181,NOVIEMBRE 2021
