,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,SbjNum,NSE,NSEv1,NSEv2,edad,edadx,DNI,sexo,dep,prov,dist,zona,zona2,zona3,zonali,zonali2,region,area,ambito,ambito2,edu,edu2,p01,p02_1,p02_2,p02_3,p02_4,p02_5,p02_6,p02_7,p03_1,p03_2,p03_3,p03_4,p04_1,p04_2,p04_3,p04_4,p04_5,p07,p08,p09,p11,p11otros,p11cod,p12,p13,PONDERADOR,PERCENTAGE,periodo
0,0,0,0,157323702,NSE D,NSE D,NSE D/E,28,De 25 a 39 años,SI,Hombre,8,Cusco,80105,Sur,7,2,-1,-1,2,2,Peru urbano,1,3,1,Aprueba,Aprueba,Aprueba,Desaprueba,Desaprueba,Aprueba,Aprueba,Aprueba,Mucho,Mucho,Mucho,Mucho,Bien,Muy bien,Muy bien,Muy bien,Muy bien,Muy bien,Si,Si,5, ,-1,Izquierda,5,0.9555,0.07903625236974342,SETIEMBRE 2021
1,1,1,1,157324458,NSE C1,NSE C,NSE C,22,De 18 a 24 años,SI,Hombre,23,Tacna,230110,Sur,4,2,-1,-1,1,2,Peru urbano,1,3,1,Aprueba,Aprueba,NS/NP,Desaprueba,NS/NP,Aprueba,Aprueba,Aprueba,Algo,Poco,Algo,Mucho,Regular,Regular,Regular,Bien,Regular,Bien,Si,No,98, ,-1,NS/NP,99,0.8371,0.06924253988352926,SETIEMBRE 2021
2,2,2,2,157324472,NSE E,NSE E,NSE D/E,18,De 18 a 24 años,SI,Hombre,20,Sullana,200603,Norte,2,2,-1,-1,1,4,Peru rural,2,3,1,NS/NP,Desaprueba,Desaprueba,Aprueba,NS/NP,Aprueba,Desaprueba,Aprueba,Nada,Poco,Poco,Mucho,Bien,Regular,Bien,Muy mal,Muy mal,Muy bien,Si,Si,99, ,-1,Izquierda,6,0.9487,0.07847377563911624,SETIEMBRE 2021
3,3,3,3,157325315,NSE B2,NSE B,NSE A/B,65,De 40 a más años,SI,Hombre,8,Calca,80401,Sur,7,2,-1,-1,2,1,Peru urbano,1,7,2,Aprueba,Aprueba,Aprueba,Desaprueba,Desaprueba,NS/NP,NS/NP,Aprueba,Mucho,Mucho,Algo,Mucho,Bien,Bien,Bien,Muy bien,Bien,Muy bien,Si,No,11,EL FUJIMORISMO,11,Centro,7,0.9993,0.08265926425231249,SETIEMBRE 2021
4,4,4,4,157325490,NSE D,NSE D,NSE D/E,25,De 25 a 39 años,SI,Hombre,3,Aymaraes,30415,Sur,7,2,-1,-1,2,1,Peru urbano,1,6,2,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Aprueba,Poco,Poco,Mucho,Nada,Regular,Regular,Muy bien,Muy mal,Mal,Muy bien,Si,Si,4, ,-1,Izquierda,1,0.9555,0.07903625236974342,SETIEMBRE 2021
5,5,5,5,157325856,NSE E,NSE E,NSE D/E,58,De 40 a más años,SI,Hombre,14,Lambayeque,140303,Norte,2,2,-1,-1,1,4,Peru rural,2,2,1,Aprueba,NS/NP,Aprueba,NS/NP,Aprueba,Aprueba,Aprueba,Aprueba,Mucho,Mucho,Mucho,Mucho,Regular,Bien,Muy bien,Muy bien,Regular,Bien,Si,No,99, ,-1,Derecha,5,1.1326,0.0936854625159303,SETIEMBRE 2021
6,6,6,6,157325992,NSE C2,NSE C,NSE C,18,De 18 a 24 años,SI,Hombre,23,Tacna,230108,Sur,4,2,-1,-1,1,1,Peru urbano,1,3,1,Desaprueba,Desaprueba,Aprueba,Desaprueba,Aprueba,Desaprueba,Desaprueba,Desaprueba,Poco,Nada,Nada,Poco,Mal,Mal,Regular,Regular,Mal,Regular,Si,No,99, ,-1,Centro,6,0.8371,0.06924253988352926,SETIEMBRE 2021
7,7,7,7,157326153,NSE C2,NSE C,NSE C,35,De 25 a 39 años,SI,Hombre,22,Moyobamba,220101,Selva,8,2,-1,-1,3,1,Peru urbano,1,5,2,Aprueba,Desaprueba,Desaprueba,Desaprueba,Aprueba,Aprueba,Aprueba,Desaprueba,Algo,Algo,Algo,Algo,Regular,Regular,Regular,Bien,Mal,Regular,Si,No,4, ,-1,Izquierda,5,0.9555,0.07903625236974342,SETIEMBRE 2021
8,8,8,8,157326927,NSE A2,NSE A,NSE A/B,87,De 40 a más años,SI,Hombre,15,Lima,150130,Lima Metropolitana,1,1,2,2,1,-1,Lima Metropolitana,1,8,2,Aprueba,NS/NP,Aprueba,Desaprueba,Desaprueba,Aprueba,Aprueba,Aprueba,Mucho,Mucho,Poco,Mucho,Bien,Regular,Muy bien,Regular,Bien,Muy bien,Si,Si,6, ,-1,Centro,1,0.4263,0.035262327980347064,SETIEMBRE 2021
9,9,9,9,157327085,NSE C2,NSE C,NSE C,24,De 18 a 24 años,SI,Hombre,15,Huaura,150801,Centro,3,2,-1,-1,1,2,Peru urbano,1,6,2,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Nada,Poco,Nada,Nada,Muy mal,Mal,Muy mal,Muy mal,Mal,Bien,Si,No,99, ,-1,Derecha,1,0.8371,0.06924253988352926,SETIEMBRE 2021
